IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
43.129.171.137,443,443,true,HKG,Asia Pacific,HK,Hong Kong,21,34.58
8.223.15.4,443,443,true,HKG,Asia Pacific,HK,Hong Kong,24,11.26
103.44.255.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,14,8.90
45.87.102.122,444,443,true,HKG,Asia Pacific,HK,Hong Kong,248,5.88
23.26.217.101,10001,443,true,HKG,Asia Pacific,HK,Hong Kong,248,3.89
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,21,3.14
154.201.93.212,19443,443,true,HKG,Asia Pacific,HK,Hong Kong,356,2.49
58.176.95.46,443,443,true,HKG,Asia Pacific,HK,Hong Kong,77,1.47
154.197.27.44,18488,443,true,HKG,Asia Pacific,HK,Hong Kong,216,1.47
154.21.202.107,4433,443,true,HKG,Asia Pacific,HK,Hong Kong,27,1.08
154.201.93.166,2454,443,true,HKG,Asia Pacific,HK,Hong Kong,364,0.72
5.180.98.146,22827,443,true,HKG,Asia Pacific,HK,Hong Kong,53,0.59
8.210.65.243,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,23,0.41
47.83.234.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,22,0.31
185.213.62.199,39584,443,true,HKG,Asia Pacific,HK,Hong Kong,67,0.18
165.154.43.92,35184,443,true,HKG,Asia Pacific,HK,Hong Kong,75,0.12
38.6.167.31,12666,443,true,HKG,Asia Pacific,HK,Hong Kong,98,0.10
47.76.136.17,443,443,true,HKG,Asia Pacific,HK,Hong Kong,19,0.08
202.181.27.218,14526,443,true,HKG,Asia Pacific,HK,Hong Kong,200,0.06
141.11.77.125,59217,443,true,HKG,Asia Pacific,HK,Hong Kong,440,0.05
43.128.26.74,443,443,true,HKG,Asia Pacific,HK,Hong Kong,19,0.02
203.9.150.104,443,443,true,HKG,Asia Pacific,HK,Hong Kong,323,0.00
141.11.125.215,443,443,true,HKG,Asia Pacific,HK,Hong Kong,418,0.00
45.153.130.97,25909,443,true,HKG,Asia Pacific,HK,Hong Kong,55,0.00
