IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.142.188.142,8443,443,true,SIN,Asia Pacific,SG,Singapore,56,13.53
13.212.35.231,443,443,true,SIN,Asia Pacific,SG,Singapore,102,7.57
13.212.91.157,443,443,true,SIN,Asia Pacific,SG,Singapore,104,6.93
43.156.53.68,443,443,true,SIN,Asia Pacific,SG,Singapore,56,5.94
43.134.34.18,443,443,true,SIN,Asia Pacific,SG,Singapore,53,5.93
43.128.112.160,443,443,true,SIN,Asia Pacific,SG,Singapore,59,3.16
8.213.197.132,8443,443,true,SIN,Asia Pacific,SG,Singapore,382,1.88
43.156.253.94,443,443,true,SIN,Asia Pacific,SG,Singapore,56,1.61
47.236.14.19,443,443,true,SIN,Asia Pacific,SG,Singapore,227,0.68
138.2.66.92,443,443,true,SIN,Asia Pacific,SG,Singapore,240,0.60
52.77.19.190,443,443,true,SIN,Asia Pacific,SG,Singapore,58,0.39
13.250.14.76,443,443,true,SIN,Asia Pacific,SG,Singapore,60,0.26
45.86.228.104,443,443,true,SIN,Asia Pacific,SG,Singapore,130,0.23
8.219.1.169,443,443,true,SIN,Asia Pacific,SG,Singapore,221,0.21
51.79.254.182,443,443,true,SIN,Asia Pacific,SG,Singapore,305,0.17
54.169.229.188,443,443,true,SIN,Asia Pacific,SG,Singapore,58,0.16
96.0.148.0,80,80,false,SIN,Asia Pacific,SG,Singapore,131,0.15
47.236.79.131,8443,443,true,SIN,Asia Pacific,SG,Singapore,245,0.14
8.219.15.140,443,443,true,SIN,Asia Pacific,SG,Singapore,230,0.04
168.138.165.174,443,443,true,SIN,Asia Pacific,SG,Singapore,284,0.00
